seq_len,pytorch,triton
64.000000,0.022528,0.208256
128.000000,0.020640,0.567917
256.000000,0.018856,0.950272
512.000000,0.024266,1.869840
1024.000000,0.044288,3.737600
2048.000000,0.149387,7.484416
4096.000000,0.572826,29.368320
8192.000000,2.579456,164.578369
16384.000000,10.089472,663.349243
32768.000000,39.628799,2720.017334
65536.000000,27.191296,10197.298828
131072.000000,2.691072,44618.972656
262144.000000,3.019776,163161.234375
